kernel,size,bound,oi,working_set_bytes,has_loop_carried_dep,action,tile_size,vector_length,reason,time_plain,time_optimized,speedup,achieved_gflops
monte_carlo_option_price,SMALL,memory-bound,0.0,0,True,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",0.00017252424731850624,0.00017190119251608849,1.003624493776327,0.0
monte_carlo_option_price,MEDIUM,memory-bound,0.0,0,True,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",0.004042268265038729,0.004035200923681259,1.0017514224176531,0.0
monte_carlo_option_price,LARGE,memory-bound,0.0,0,True,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",0.02501438930630684,0.02418014919385314,1.0345010324694677,0.0
binomial_tree_price,SMALL,memory-bound,0.0,0,False,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",2.7792062610387802e-05,2.7747824788093567e-05,1.0015942807276632,0.0
binomial_tree_price,MEDIUM,memory-bound,0.0,0,False,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",0.00033727381378412247,0.00033908477053046227,0.9946592802044553,0.0
binomial_tree_price,LARGE,memory-bound,0.0,0,False,tile,128,,"memory-bound (OI=0); tiling to 128 elements per dimension (working_set_bytes=0, L2=262144)",0.0015391581691801548,0.0015316740609705448,1.004886227690549,0.0
black_scholes_grid,SMALL,memory-bound,1.125,1536,False,tile,73,,"memory-bound (OI=1.12); tiling to 73 elements per dimension (working_set_bytes=1536, L2=262144)",4.285946488380432e-06,4.348345100879669e-06,0.9856500321267937,0.39739256197729705
black_scholes_grid,MEDIUM,memory-bound,1.125,12288,False,tile,73,,"memory-bound (OI=1.12); tiling to 73 elements per dimension (working_set_bytes=12288, L2=262144)",2.9033981263637543e-05,2.9300805181264877e-05,0.9908936318993055,0.47179590849056785
black_scholes_grid,LARGE,memory-bound,1.125,98304,False,tile,73,,"memory-bound (OI=1.12); tiling to 73 elements per dimension (working_set_bytes=98304, L2=262144)",0.0002242065966129303,0.0002268482930958271,0.988354787920838,0.48751523976987926
historical_var,SMALL,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,0.00011628633365035057,0.00011569401249289513,1.0051197217962495,0.0
historical_var,MEDIUM,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,0.004121345467865467,0.004379166755825281,0.9411254920546578,0.0
historical_var,LARGE,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,0.043444487266242504,0.04347877763211727,0.9992113309586368,0.0
portfolio_covariance_var,SMALL,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,6.756745278835297e-06,6.76838681101799e-06,0.99828001375989,0.0
portfolio_covariance_var,MEDIUM,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,0.00011834036558866501,0.00011850148439407349,0.9986403646651997,0.0
portfolio_covariance_var,LARGE,memory-bound,0.0,0,False,none,,,no explicit scalar loop nest found in this kernel's IR,0.003993239253759384,0.009939479641616344,0.40175536323247696,0.0
