suite,kernel,njit_variant,fastmath,boundscheck,style,baseline_llvm,baseline_gflops,suggested_llvm,suggested_gflops,reason,speedup
financial,black_scholes,njit_boundscheck,False,True,transcendental,llvm_O3_loopvec,2.650023679138297,llvm_O3_novec,2.655413033691525,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0020337005271516
financial,black_scholes,njit_default,False,False,transcendental,llvm_O3_loopvec,2.7245492756000322,llvm_O3_novec,2.7243819844603667,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",0.9999385986000827
financial,black_scholes,njit_fastmath,True,False,transcendental,llvm_O3_loopvec,2.8758947618162045,llvm_O3_novec,2.8370897216070627,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",0.9865067940856656
financial,black_scholes,njit_fastmath_boundscheck,True,True,transcendental,llvm_O3_loopvec,2.8578397845534074,llvm_O3_novec,2.8523898489442026,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",0.9980929877039778
financial,monte_carlo_option_pricing,njit_boundscheck,False,True,transcendental,llvm_O3_loopvec,1.419255228511173,llvm_O3_novec,1.4203209746654213,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0007509193081263
financial,monte_carlo_option_pricing,njit_default,False,False,transcendental,llvm_O3_loopvec,1.418646856028937,llvm_O3_novec,1.4205826063196445,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0013645046915525
financial,monte_carlo_option_pricing,njit_fastmath,True,False,transcendental,llvm_O3_loopvec,1.4102197344414538,llvm_O3_novec,1.41288349621952,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0018888983844219
financial,monte_carlo_option_pricing,njit_fastmath_boundscheck,True,True,transcendental,llvm_O3_loopvec,1.4110783988366806,llvm_O3_novec,1.412640887873927,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0011073013650655
financial,portfolio_risk_simulation,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.5418196251924035,llvm_O3_vec_forcewidth2,1.5529148860826867,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0071962120010625
financial,portfolio_risk_simulation,njit_default,False,False,vectorizable,llvm_O3_loopvec,1.7342053092787002,llvm_O3_loopvec,1.7342053092787002,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
