kernel,size,variant,action,dp_ops,dram_bytes,time_seconds,gflops_per_sec,ai_dram
monte_carlo_option_price,LARGE,naive_njit,none,17656991,3900864,0.02506244834512472,0.704519796184826,4.526430811225411
monte_carlo_option_price,LARGE,njit_optimized,tile,17656991,10408192,0.028558453544974327,0.6182754599156945,1.6964513145030375
binomial_tree_price,LARGE,naive_njit,none,1334410,193600,0.0016103973612189293,0.8286215763480691,6.892613636363636
binomial_tree_price,LARGE,njit_optimized,tile,1334410,230784,0.0016151797026395798,0.8261681333781395,5.782073280643372
black_scholes_grid,LARGE,naive_njit,none,591436,13952,0.00023054331541061401,2.565400774889571,42.39076834862385
black_scholes_grid,LARGE,njit_optimized,tile,591436,10688,0.0003111641854047775,1.9007200305865255,55.33645209580838
historical_var,LARGE,naive_njit,none,21162960,23605504,0.032307447865605354,0.6550489561427159,0.8965265050049345
historical_var,LARGE,njit_optimized,none,21162960,34077568,0.03244489245116711,0.6522740068210251,0.6210231903872953
portfolio_covariance_var,LARGE,naive_njit,none,7437479,381888,0.00115983746945858,6.412518301785737,19.47555042316072
portfolio_covariance_var,LARGE,njit_optimized,none,7437479,409664,0.0011555980890989304,6.4360430067856225,18.155070985002343
rolling_volatility,LARGE,naive_njit,none,1869256,781888,0.0013182861730456352,1.4179440232475924,2.3906953425554556
rolling_volatility,LARGE,njit_optimized,tile,1869256,331072,0.0013255253434181213,1.4102001212438269,5.646070945292867
garch_11,LARGE,naive_njit,none,937960,7515776,0.0012229587882757187,0.7669596138414886,0.12479882316875862
garch_11,LARGE,njit_optimized,tile,937960,615552,0.0012554526329040527,0.7471090309718463,1.5237705344146393
yield_curve_bootstrap,LARGE,naive_njit,none,91202,81984,3.648921847343445e-05,2.499423221859316,1.1124365729898518
yield_curve_bootstrap,LARGE,njit_optimized,tile,91202,228736,3.747362643480301e-05,2.4337649882557844,0.39872167039731393
markowitz_optimize,LARGE,naive_njit,none,6997699,182016,0.0010567670688033104,6.621798886981062,38.44551577883263
markowitz_optimize,LARGE,njit_optimized,none,6997699,339136,0.0010650800541043282,6.570115526090353,20.633902033402528
correlated_asset_paths,LARGE,naive_njit,none,37900538,8743616,0.03213955834507942,1.1792488743331655,4.334652619694186
correlated_asset_paths,LARGE,njit_optimized,tile,37900538,6083648,0.03186355158686638,1.1894637010778788,6.229903176515143
black_scholes_pde_crank_nicolson,LARGE,naive_njit,none,1175704,6123968,0.00099166389554739,1.1855871785581358,0.19198402081787494
black_scholes_pde_crank_nicolson,LARGE,njit_optimized,tile,1175704,212672,0.000983918085694313,1.1949206108660468,5.528250075233223
